Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
https://pre-tlproplus-api.thailife.com/token,1,288,288,288,0.00,0.000%,3.47222,1.98,1.93,584.0
3) Login Branch,40,1195,224,1697,327.72,0.000%,19.02950,10.85,11.32,584.0
1) ค้นหาใบเสนอขาย,94479,215,144,21669,339.12,0.000%,26.24291,294.74,19.25,11500.7
6.1) SE,93162,184,143,21534,301.65,0.000%,25.87755,21.98,22.31,869.9
5) ค้นหา รพ เครือข่าย (Search all),118071,470,369,21559,389.86,0.000%,32.79345,4132.58,24.18,129042.8
6.2) PJ,93158,47,35,7071,42.29,0.000%,25.88201,20.70,22.57,819.1
2) ค้นหารายชื่อ ใบคำขอ,91080,427,146,22952,613.38,0.000%,25.29639,835.83,21.10,33834.3
6.3) NF,93156,46,36,3765,33.93,0.000%,25.88435,20.72,22.57,819.9
1_2) Login with Agent users 850 requests ,10,4374,2892,5022,748.25,0.000%,1.72117,2.78,1.27,1653.7
6.4) LT01,93155,46,36,2299,27.17,0.000%,25.90429,20.77,22.64,821.0
6.5) SF,93154,46,36,2228,29.07,0.000%,25.90513,20.74,22.59,819.9
7) ค้นหาโดย ID,93420,272,217,21332,376.10,0.000%,25.98471,20.65,20.81,813.8
TOTAL,862886,203,35,22952,353.83,0.000%,239.28868,5380.25,197.62,23024.0
