Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
setUp Thread Group:token Authorization Bearer,1,36,36,36,0.00,0.000%,27.77778,15.84,11.28,584.0
MEMBER_All 1-19:1_Member Profile_MEMBER01 [SearchProfileByCustomerId],4339,293,48,1244,117.33,0.000%,2.76955,4.40,1.61,1628.5
MEMBER_All 1-19:2_Member Profile_MEMBER02 [SearchMonthlyIncome],4339,270,31,1298,115.32,0.000%,2.76911,3.42,1.59,1263.5
MEMBER_All 1-19:3_Member Profile_MEMBER03 [SearchFavoriteActivity],4339,269,20,1526,121.15,0.000%,2.76885,3.99,1.60,1476.1
MEMBER_All 1-19:4_Member Profile_MEMBER04 [SearchHospitalRegularly],4339,281,30,1378,119.95,0.000%,2.76806,83.69,1.60,30960.2
Thread Group_POL_DB_04_GetLoanPremum:10_OL_POL_DB_04_GetLoanPremum,1428,10944,199,51158,8272.65,0.000%,.91074,0.91,0.61,1028.7
MEMBER_All 1-19:5_Member Profile_MEMBER05 [SearchEmergencyContact],4339,270,15,1444,116.19,0.000%,2.76756,2.13,1.60,788.1
MEMBER_All 1-19:6_Member Profile_MEMBER07 [UpdateCustomer],4339,268,23,1190,114.49,0.000%,2.76771,1.75,1.85,648.0
Unitlink Thread Group:CSA-07 (LoginCsa),1791,1619,1012,5369,428.45,0.000%,1.14240,0.96,0.93,859.3
Thread Group_OL:OL_CSA-07 (LoginCsa),2820,1687,1057,5608,549.84,0.000%,1.79842,1.50,1.46,856.5
Credit Life Thread Group:CSA-07 (LoginCsa),1577,1589,1051,5558,345.20,0.000%,1.00608,0.84,0.82,856.5
Universal Life Thread Group:CSA-07 (LoginCsa),4890,1624,219,5858,409.17,0.000%,3.11902,2.61,2.53,857.1
Consumer Finance Thread Group:CSA-07 (LoginCsa),307,1618,1085,5157,446.01,0.000%,.19709,0.17,0.16,859.7
MEMBER_All 1-19:7_Member Profile_MEMBER08 [UpdateMonthlyIncome],4336,272,29,1036,112.80,0.000%,2.76740,1.75,5.36,648.0
MEMBER_All 1-19:8_Member Profile_MEMBER09 [UpdateFavoriteActivity],4335,277,34,1275,116.84,0.000%,2.76778,1.75,3.15,648.0
Unitlink Thread Group:CSA-08 (SetPincode),1791,396,116,2869,196.17,0.000%,1.14334,0.69,0.79,621.0
Thread Group_OL:OL_CSA-08 (SetPincode),2820,402,127,2996,212.15,0.000%,1.80010,1.09,1.15,621.0
Consumer Finance Thread Group:CSA-08 (SetPincode),307,402,123,2613,226.32,0.000%,.19724,0.12,0.14,621.0
MEMBER_All 1-19:9_Member Profile_MEMBER10 [UpdateHospitalRegularly],4334,315,36,1377,124.98,0.000%,2.76910,1.76,2.83,649.9
Credit Life Thread Group:CSA-08 (SetPincode),1577,370,118,2752,170.69,0.000%,1.00679,0.61,0.70,621.0
Universal Life Thread Group:CSA-08 (SetPincode),4890,403,123,3057,183.61,0.000%,3.12168,1.89,2.16,621.4
MEMBER_All 1-19:10_Member Profile_MEMBER11 [UpdateEmergencyContact],4333,275,24,1116,114.94,0.000%,2.77067,1.75,2.29,648.0
Unitlink Thread Group:01_Unitlink_CSA-09 (LoginPIN),1790,481,166,2229,206.67,0.000%,1.14485,0.69,0.79,621.0
Consumer Finance Thread Group:01_Consumer Finance_CSA-09 (LoginPIN),307,474,167,1511,204.02,0.000%,.19752,0.12,0.14,621.0
Credit Life Thread Group:01_Credit Life_CSA-09 (LoginPIN),1577,457,129,2264,184.29,0.000%,1.00832,0.61,0.70,621.0
Thread Group_OL:01_OL_CSA-09 (LoginPIN),2818,500,142,2249,235.41,0.000%,1.80197,1.09,1.15,621.0
MEMBER_All 1-19:11_Member Profile_MEMBER13 [LookupRelationship],4331,269,28,1080,114.62,0.000%,2.77033,5.91,1.72,2185.1
Universal Life Thread Group:01_Universal Life_CSA-09 (LoginPIN),4889,479,143,2312,202.13,0.000%,3.12722,1.90,2.16,621.4
MEMBER_All 1-19:13_Member Profile_MEMBER17 [searchContactPOS],4330,271,21,998,111.38,0.000%,2.77097,2.14,1.79,789.3
MEMBER_All 1-19:14_Member Profile_MEMBER18 [SearchDiseaseRegularly],4330,268,15,1027,108.68,0.000%,2.77130,5.08,1.64,1877.6
Unitlink Thread Group:02_Unitlink_POL_DB_01_SearchPolicyByCustomerId,1784,6289,913,40642,5635.71,0.280%,1.14181,4.46,0.66,3996.7
Thread Group_OL:02_OL_POL_DB_01_SearchPolicyByCustomerId,2813,3127,894,38467,2659.01,0.178%,1.80133,3.40,1.04,1931.8
Credit Life Thread Group:02_Credit Life_POL_DB_01_SearchPolicyByCustomerId,1573,3727,976,18114,1901.57,0.000%,1.00677,1.76,0.58,1790.9
Unitlink Thread Group:03_Unitlink_MEMBER01 [SearchProfileByCustomerId],1784,297,57,1019,117.49,0.000%,1.14251,1.32,0.67,1178.6
Thread Group_OL:03_MEMBER01 [SearchProfileByCustomerId],2813,294,42,942,113.34,0.000%,1.80247,2.07,1.05,1175.3
Consumer Finance Thread Group:02_Consumer Finance_POL_DB_01_SearchPolicyByCustomerId,307,3329,986,39850,2773.17,0.000%,.19711,0.38,0.11,1997.3
Universal Life Thread Group:02_Universal Life_POL_DB_01_SearchPolicyByCustomerId,4873,5038,92,44061,5005.36,0.472%,3.11864,9.82,1.80,3225.0
Unitlink Thread Group:04_Unitlink_POL_DB_02_03_PolicyDetailsUnitLink,1783,1113,78,4110,655.81,0.000%,1.14193,1.63,0.69,1465.9
Credit Life Thread Group:03_Credit Life_MEMBER01 [SearchProfileByCustomerId],1573,292,68,1008,117.68,0.000%,1.00738,1.15,0.59,1172.7
Thread Group_OL:04_OL_POL_DB_02_01_PolicyDetailsOL,2811,1191,77,6007,678.67,0.000%,1.80019,2.38,1.08,1356.1
Consumer Finance Thread Group:03_Consumer Finance_MEMBER01 [SearchProfileByCustomerId],307,287,103,911,109.04,0.000%,.19729,0.23,0.12,1176.1
Universal Life Thread Group:03_Universal Life_MEMBER01 [SearchProfileByCustomerId],4873,296,49,1507,116.74,0.000%,3.12054,3.58,1.82,1175.9
Credit Life Thread Group:04_Credit Life_POL_DB_02_02_PolicyDetailsCL,1570,1494,101,4815,836.83,0.000%,1.00618,1.30,0.63,1327.6
Unitlink Thread Group:05_Unitlink_POL_DB_03_NextPayPeriod,1783,421,180,1227,127.62,0.000%,1.14190,1.34,0.93,1205.8
Credit Life Thread Group:05_Credit Life_POL_DB_03_NextPayPeriod,1570,242,8,981,114.43,0.000%,1.00608,1.15,0.82,1173.5
Consumer Finance Thread Group:04_Consumer Finance_POL_DB_02_02_PolicyDetailsCL,307,971,60,3066,664.62,0.000%,.19718,0.24,0.12,1271.1
Universal Life Thread Group:04_Universal Life_POL_DB_02_01_PolicyDetailsOL,4868,1162,49,5568,674.51,0.000%,3.11846,4.07,1.85,1335.9
Thread Group_OL:05_OL_POL_DB_03_NextPayPeriod,2810,582,176,2335,178.85,0.000%,1.80095,2.40,1.47,1362.7
Credit Life Thread Group:06_Credit Life_POL_DB_05_GetRiderDetial,1570,371,92,1104,145.57,0.000%,1.00599,1.68,0.68,1711.2
Credit Life Thread Group:07_Credit Life_POL_DB_03_NextPayPeriod,1570,243,8,915,115.10,0.000%,1.00652,1.15,0.82,1173.5
Universal Life Thread Group:05_Universal Life_POL_DB_03_NextPayPeriod,4867,463,179,1360,132.29,0.000%,3.12062,3.65,2.52,1198.4
Unitlink Thread Group:06_Unitlink_POL_DB_05_GetRiderDetial,1782,382,62,2680,337.61,0.000%,1.14170,1.32,0.76,1179.7
Thread Group_OL:06_OL_POL_DB_05_GetRiderDetial,2810,404,32,1922,173.78,0.000%,1.80187,3.63,1.21,2061.0
Consumer Finance Thread Group:05_Consumer Finance_POL_DB_03_NextPayPeriod,307,291,71,1521,139.43,0.000%,.19720,0.24,0.16,1247.1
Universal Life Thread Group:06_Universal Life_POL_DB_05_GetRiderDetial,4867,331,14,4215,235.49,0.000%,3.12209,3.27,2.08,1073.0
Unitlink Thread Group:07_Unitlink_POL_DB_03_NextPayPeriod,1781,429,191,1170,128.47,0.000%,1.14270,1.35,0.93,1205.8
Thread Group_OL:07_OL_POL_DB_03_NextPayPeriod,2810,493,145,1650,152.70,0.000%,1.80208,2.40,1.47,1362.7
Consumer Finance Thread Group:06_Consumer Finance_POL_DB_05_GetRiderDetial,307,444,83,1269,168.91,0.000%,.19733,0.41,0.13,2132.7
Universal Life Thread Group:07_Universal Life_POL_DB_03_NextPayPeriod,4867,458,189,1305,131.99,0.000%,3.12155,3.65,2.52,1198.4
Consumer Finance Thread Group:07_Consumer Finance_POL_DB_03_NextPayPeriod,307,294,53,885,129.05,0.000%,.19736,0.24,0.16,1247.1
Credit Life Thread Group:08_Credit Life_POL_DB_11_GetPaymentHistory,1569,907,83,7478,566.45,0.000%,1.00604,0.81,0.69,823.8
Credit Life Thread Group:09_Credit Life_POL_DB_10_GetBeneficiaryInfo,1568,253,10,1003,115.27,1.467%,1.00696,0.97,0.69,984.3
Universal Life Thread Group:08_Universal Life_POL_DB_11_GetPaymentHistory,4848,5061,107,35882,5838.22,0.124%,3.11029,6.85,2.09,2255.4
Universal Life Thread Group:09_Universal Life_POL_DB_04_GetLoanPremum,4837,1947,190,45122,3720.01,0.041%,3.11168,2.65,2.08,871.0
Unitlink Thread Group:08_Unitlink_POL_DB_11_GetPaymentHistory,1767,12143,186,44190,9859.55,1.641%,1.13332,4.95,0.76,4473.7
Universal Life Thread Group:10_Universal Life_POL_DB_10_GetBeneficiaryInfo,4836,1242,67,6319,753.33,0.000%,3.11090,3.06,2.09,1007.1
Universal Life Thread Group:11_Universal Life_POL_DB_12_GetCoverageOverview,4836,765,88,2748,285.54,0.000%,3.11162,2.38,1.79,782.0
Unitlink Thread Group:09_Unitlink_POL_DB_10_GetBeneficiaryInfo,1766,1259,79,5380,760.79,0.000%,1.13613,1.13,0.77,1022.2
Thread Group_OL:08_OL_POL_DB_11_GetPaymentHistory,2785,14640,1622,43591,8042.50,1.580%,1.78632,8.63,1.21,4945.9
Unitlink Thread Group:10_Unitlink_POL_DB_13_GetCurrentAVInfo,1766,763,438,1994,179.47,0.000%,1.13654,1.40,0.77,1261.0
Unitlink Thread Group:11_Unitlink_POL_DB_12_GetCoverageOverview,1764,769,231,2546,282.33,0.000%,1.13550,0.87,0.65,782.0
Thread Group_OL:09_OL_POL_DB_07_GetDividendInfo,2768,8450,3058,18998,2174.82,0.000%,1.78116,5.78,1.20,3320.6
