Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
token Authorization Bearer,1,55,55,55,0.00,0.000%,18.18182,10.37,7.39,584.0
OL_CSA-07 (LoginCsa),6086,863,685,8166,521.55,0.000%,1.69057,1.38,1.35,833.1
2_OL_POL_DB_01_SearchPolicyByCustomerId,5125,812,316,12390,484.35,0.020%,1.42272,2.97,0.80,2140.2
CSA-07 (LoginCsa),10841,865,676,8075,541.02,0.000%,3.01022,2.45,2.41,834.1
CUS-01_SearchByCustomerName,132,11119,1905,15285,4141.82,0.000%,.03679,0.70,0.03,19584.1
OL_CSA-08 (SetPincode),6077,79,25,4176,307.44,0.000%,1.68974,1.00,1.06,609.0
10_OL_POL_DB_04_GetLoanPremum,5122,1089,98,44016,3011.38,0.020%,1.42276,1.41,0.94,1011.9
CSA-08 (SetPincode),10836,67,25,4293,231.11,0.000%,3.01054,1.79,2.01,609.0
01_OL_CSA-09 (LoginPIN),6075,84,40,3348,176.18,0.000%,1.69017,1.01,1.06,609.0
CUS-02_SearchCustomerByCitizenId,132,852,12,5283,763.23,0.000%,.03676,0.07,0.03,1852.7
01_Universal Life_CSA-09 (LoginPIN),5622,80,40,2186,124.75,0.000%,1.56457,0.93,1.04,609.0
01_Consumer Finance_CSA-09 (LoginPIN),569,74,42,1732,95.89,0.000%,.15857,0.09,0.11,609.0
01_Unitlink_CSA-09 (LoginPIN),2908,75,40,1775,88.77,0.000%,.80928,0.48,0.54,609.0
01_Credit Life_CSA-09 (LoginPIN),1000,75,41,1981,79.93,0.000%,.27828,0.17,0.18,609.0
_OL_POL_DB_01_SearchPolicyByCustomerId,733,820,583,3240,266.16,0.000%,.20421,0.52,0.11,2626.9
0_Member Profile_CSA-09 (LoginPIN),733,71,41,501,39.25,0.000%,.20412,0.12,0.14,609.0
1_Member Profile_MEMBER01 [SearchProfileByCustomerId],732,32,20,298,18.65,0.000%,.20386,0.29,0.12,1464.0
2_Member Profile_MEMBER02 [SearchMonthlyIncome],731,18,8,2083,77.73,0.000%,.20377,0.24,0.11,1202.4
CUS-03_SearchByPartyId,132,690,573,2087,200.54,0.000%,.03676,0.07,0.02,1904.2
02_Universal Life_POL_DB_01_SearchPolicyByCustomerId,5621,911,574,10709,501.83,0.000%,1.56516,5.57,0.88,3644.4
